ts_event,symbol,open,high,low,close,volume
2015-01-01 00:00:00+00:00,CL.c.0,53.76,55.11,53.61,54.55,4933
2015-01-01 00:00:00+00:00,GC.c.0,1184.0,1184.5,1184.0,1184.5,2
2015-01-01 00:00:00+00:00,HG.c.1,2.832,2.832,2.832,2.832,2
2015-01-01 00:00:00+00:00,NG.c.1,2.85,2.857,2.81,2.847,595
2015-01-01 00:00:00+00:00,GC.c.1,1184.0,1187.5,1183.5,1186.8,1282
2015-01-01 00:00:00+00:00,NG.c.0,2.845,2.852,2.805,2.842,1367
2015-01-01 00:00:00+00:00,CL.c.1,54.2,55.51,54.07,54.98,482
2015-01-02 00:00:00+00:00,GC.c.0,1185.5,1194.5,1169.5,1186.3,136
2015-01-02 00:00:00+00:00,NG.c.1,2.85,3.087,2.85,2.961,43763
2015-01-02 00:00:00+00:00,NG.c.0,2.843,3.096,2.843,2.958,100016
2015-01-02 00:00:00+00:00,SI.c.0,15.79,15.815,15.535,15.665,13
2015-01-02 00:00:00+00:00,ZW.c.0,589.75,591.0,574.75,581.25,38688
2015-01-02 00:00:00+00:00,CL.c.1,54.98,55.12,52.45,53.26,54373
2015-01-02 00:00:00+00:00,ZW.c.1,594.5,595.0,580.0,586.5,5964
2015-01-02 00:00:00+00:00,HG.c.0,2.842,2.842,2.836,2.8375,76
2015-01-02 00:00:00+00:00,SI.c.1,15.83,16.045,15.575,15.73,29
2015-01-02 00:00:00+00:00,CL.c.0,54.57,54.75,52.03,52.81,246903
2015-01-02 00:00:00+00:00,HG.c.1,2.842,2.842,2.8125,2.825,115
2015-01-02 00:00:00+00:00,ZC.c.0,396.25,398.5,391.5,396.25,80419
2015-01-02 00:00:00+00:00,GC.c.1,1186.7,1194.9,1167.3,1189.8,110998
2015-01-02 00:00:00+00:00,ZC.c.1,405.0,407.0,400.25,405.0,16893
2015-01-04 00:00:00+00:00,SI.c.1,15.675,15.675,15.675,15.675,1
2015-01-04 00:00:00+00:00,CL.c.0,52.61,52.73,52.15,52.22,2906
2015-01-04 00:00:00+00:00,GC.c.0,1180.3,1180.3,1180.1,1180.1,5
2015-01-04 00:00:00+00:00,NG.c.1,3.071,3.12,3.07,3.093,857
2015-01-04 00:00:00+00:00,NG.c.0,3.076,3.127,3.073,3.101,2776
2015-01-04 00:00:00+00:00,CL.c.1,52.98,53.12,52.57,52.63,319
2015-01-04 00:00:00+00:00,GC.c.1,1187.8,1188.8,1177.8,1183.8,4293
2015-01-05 00:00:00+00:00,GC.c.0,1183.3,1206.9,1183.3,1203.2,467
2015-01-05 00:00:00+00:00,NG.c.1,3.093,3.155,2.868,2.911,49845
2015-01-05 00:00:00+00:00,NG.c.0,3.1,3.176,2.875,2.934,134825
2015-01-05 00:00:00+00:00,ZW.c.0,579.75,597.5,579.0,588.25,44377
2015-01-05 00:00:00+00:00,CL.c.1,52.63,52.81,50.16,50.49,96804
2015-01-05 00:00:00+00:00,HG.c.0,2.8295,2.8295,2.788,2.796,179
2015-01-05 00:00:00+00:00,SI.c.1,15.855,16.23,15.835,16.175,15
2015-01-05 00:00:00+00:00,CL.c.0,52.21,52.42,49.68,50.08,352532
2015-01-05 00:00:00+00:00,ZW.c.1,585.25,602.5,584.5,593.0,8054
