
======================================================================
  EMA Cross — diversified basket, $100 per instrument
======================================================================
Instrument         Total Ret    Max DD     Final $
----------------------------------------------------------------------
Gold                   85.7%    -14.9%$     185.73
Palladium             -64.7%    -49.0%$      35.26
Zinc                   -8.7%     -7.9%$      91.35
Aluminum               50.7%    -30.3%$     150.72
Crude Oil              51.1%    -34.5%$     151.11
Copper                  7.8%    -33.6%$     107.81
Brent Oil               4.9%    -37.6%$     104.91
Natural Gas           -54.3%    -63.5%$      45.72
Heating Oil            59.1%    -39.6%$     159.08
Gasoline               31.1%    -39.3%$     131.07
Wheat                 -39.6%    -38.5%$      60.41
Corn                   74.8%    -39.1%$     174.83
Soybeans               19.1%    -22.2%$     119.13
Soybean Oil            54.7%    -27.3%$     154.69
Soybean Meal           14.6%    -24.1%$     114.58
Coffee                107.7%    -25.8%$     207.70
Cocoa                  31.8%    -50.3%$     131.80
Sugar                 -37.0%    -34.4%$      63.02
Cotton                -19.1%    -33.4%$      80.86
S&P 500                96.3%    -13.3%$     196.27
Nasdaq                133.4%    -14.2%$     233.37
Apple                  87.9%    -25.5%$     187.93
Tesla                1697.3%    -36.0%$    1797.26
Nvidia                783.8%    -35.8%$     883.79
Microsoft              65.4%    -23.8%$     165.42
Amazon                120.1%    -27.9%$     220.10
Meta                  212.6%    -34.6%$     312.63
Alphabet              180.8%    -35.2%$     280.81
AMD                   131.4%    -41.5%$     231.35
Netflix                97.1%    -27.3%$     197.08
Visa                  -15.6%    -28.5%$      84.43
Mastercard            -10.6%    -35.0%$      89.43
UnitedHealth          -40.1%    -31.2%$      59.95
Home Depot             84.7%    -15.6%$     184.69
Bank of America        28.0%    -30.5%$     127.99
Coca-Cola              11.0%    -19.2%$     111.04
Procter & Gamble       11.2%    -15.2%$     111.17
Walmart                43.0%    -26.4%$     143.00
JPMorgan               60.3%    -31.7%$     160.26
Exxon Mobil            69.3%    -29.1%$     169.26
Eli Lilly             170.9%    -35.9%$     270.87
20Y Treasury           -8.8%    -15.7%$      91.17
7-10Y Treasury          4.3%     -6.5%$     104.33
Euro                    2.4%     -9.3%$     102.37
Yen                   -22.1%    -11.1%$      77.91
----------------------------------------------------------------------
PORTFOLIO (avg)        97.0%    -63.5%$     196.97

Profitable instruments: 34/45

======================================================================
  EMA Cross+Stop — diversified basket, $100 per instrument
======================================================================
Instrument         Total Ret    Max DD     Final $
----------------------------------------------------------------------
Gold                   85.7%    -14.9%$     185.73
Palladium             -63.1%    -48.5%$      36.88
Zinc                   -8.7%     -7.9%$      91.35
Aluminum               50.7%    -30.3%$     150.72
Crude Oil              46.0%    -36.7%$     145.99
Copper                  5.8%    -34.5%$     105.78
Brent Oil               4.9%    -37.6%$     104.91
Natural Gas           -51.7%    -64.1%$      48.30
Heating Oil            59.1%    -39.6%$     159.08
Gasoline               31.1%    -39.3%$     131.07
Wheat                 -38.6%    -38.5%$      61.44
Corn                   74.8%    -39.1%$     174.83
Soybeans               19.1%    -22.2%$     119.13
Soybean Oil            54.7%    -27.3%$     154.69
Soybean Meal           14.6%    -24.1%$     114.58
Coffee                107.7%    -25.8%$     207.70
Cocoa                  34.5%    -49.3%$     134.47
Sugar                 -37.0%    -34.4%$      63.02
Cotton                -19.1%    -33.4%$      80.86
S&P 500                96.3%    -13.3%$     196.27
Nasdaq                133.4%    -14.2%$     233.37
Apple                  87.9%    -25.5%$     187.93
Tesla                1611.6%    -36.0%$    1711.60
Nvidia                847.9%    -35.8%$     947.89
Microsoft              65.4%    -23.8%$     165.42
Amazon                120.1%    -27.9%$     220.10
Meta                  212.6%    -34.6%$     312.63
Alphabet              180.8%    -35.2%$     280.81
AMD                   126.3%    -41.5%$     226.28
Netflix                91.1%    -27.3%$     191.08
Visa                  -15.6%    -28.5%$      84.43
Mastercard            -10.6%    -35.0%$      89.43
UnitedHealth          -36.0%    -26.5%$      63.99
Home Depot             84.7%    -15.6%$     184.69
Bank of America        28.0%    -30.5%$     128.00
Coca-Cola              11.0%    -19.2%$     111.04
Procter & Gamble       11.2%    -15.2%$     111.17
Walmart                43.0%    -26.4%$     143.00
JPMorgan               60.3%    -31.7%$     160.26
Exxon Mobil            69.3%    -29.1%$     169.26
Eli Lilly             170.9%    -35.9%$     270.87
20Y Treasury           -8.8%    -15.7%$      91.17
7-10Y Treasury          4.3%     -6.5%$     104.33
Euro                    2.4%     -9.3%$     102.37
Yen                   -22.1%    -11.1%$      77.91
----------------------------------------------------------------------
PORTFOLIO (avg)        96.4%    -64.1%$     196.35

Profitable instruments: 34/45

======================================================================
  SMA Trend — diversified basket, $100 per instrument
======================================================================
Instrument         Total Ret    Max DD     Final $
----------------------------------------------------------------------
Gold                   90.1%    -20.0%$     190.10
Palladium             -45.4%    -56.9%$      54.60
Zinc                  -11.4%     -8.4%$      88.60
Aluminum               50.7%    -26.9%$     150.73
Crude Oil              -8.7%    -34.8%$      91.29
Copper                 11.7%    -26.8%$     111.73
Brent Oil              17.5%    -28.6%$     117.51
Natural Gas           -48.5%    -60.3%$      51.48
Heating Oil            34.1%    -37.5%$     134.07
Gasoline              -17.3%    -35.0%$      82.66
Wheat                 -40.0%    -42.8%$      59.99
Corn                   -0.2%    -34.5%$      99.80
Soybeans               -1.0%    -21.3%$      99.02
Soybean Oil             6.7%    -42.0%$     106.68
Soybean Meal          -18.3%    -36.4%$      81.68
Coffee                 19.8%    -37.0%$     119.80
Cocoa                  28.5%    -47.0%$     128.51
Sugar                  21.6%    -24.4%$     121.55
Cotton                 21.9%    -34.4%$     121.86
S&P 500                87.4%    -17.9%$     187.40
Nasdaq                178.1%    -22.2%$     278.12
Apple                 129.8%    -35.8%$     229.80
Tesla                 425.6%    -60.7%$     525.62
Nvidia               2400.6%    -41.8%$    2500.62
Microsoft              72.8%    -40.5%$     172.85
Amazon                 54.7%    -28.1%$     154.67
Meta                  308.7%    -34.0%$     408.69
Alphabet              246.5%    -27.6%$     346.50
AMD                   137.3%    -46.4%$     237.30
Netflix               297.5%    -28.1%$     397.48
Visa                  -11.8%    -28.1%$      88.22
Mastercard            -17.1%    -27.4%$      82.93
UnitedHealth          -20.7%    -38.3%$      79.29
Home Depot             47.0%    -25.1%$     146.95
Bank of America        93.8%    -21.6%$     193.78
Coca-Cola              -4.1%    -22.1%$      95.90
Procter & Gamble      -32.5%    -26.0%$      67.49
Walmart                60.7%    -22.8%$     160.73
JPMorgan              182.5%    -27.1%$     282.50
Exxon Mobil           123.3%    -30.2%$     223.32
Eli Lilly             456.8%    -26.7%$     556.78
20Y Treasury          -32.5%    -20.7%$      67.48
7-10Y Treasury         -6.5%    -11.2%$      93.54
Euro                    1.5%    -10.4%$     101.51
Yen                   -18.8%    -11.4%$      81.19
----------------------------------------------------------------------
PORTFOLIO (avg)       117.2%    -60.7%$     217.16

Profitable instruments: 28/45

======================================================================
  EMA Trend — diversified basket, $100 per instrument
======================================================================
Instrument         Total Ret    Max DD     Final $
----------------------------------------------------------------------
Gold                   94.3%    -24.1%$     194.33
Palladium             -50.9%    -60.8%$      49.09
Zinc                   -9.3%     -7.0%$      90.66
Aluminum               63.9%    -26.1%$     163.95
Crude Oil             -17.8%    -37.7%$      82.19
Copper                 44.0%    -26.3%$     143.96
